time,coin,dir,px,sz,ntl,fee,closedPnl
13/12/2024 - 19:20:28,SOL,Open Long,222.69,8.96,1995.3024000000003,0.698355,-0.698355
14/12/2024 - 12:34:21,SOL,Close Long,222.69,8.96,1995.3024000000003,0.698355,-0.698355
14/12/2024 - 19:22:19,SOL,Open Long,217.32959551,8.9,1934.233400039,0.676981,-0.676981
15/12/2024 - 07:26:33,SOL,Close Long,217.65,8.9,1937.085,0.677979,2.174471
20/12/2024 - 02:58:56,SOL,Open Long,198.21,10,1982.1000000000001,0.693735,-0.693735
20/12/2024 - 05:49:35,SOL,Market Order Liquidation: Close Long,193.11048,10,1931.1048,0.675886,-51.671085999999995
20/12/2024 - 17:32:00,HYPE,Open Long,30.583,65,1987.895,0.695763,-0.695763
20/12/2024 - 17:52:03,HYPE,Open Long,30.247,2,60.494,0.021172,-0.021172
20/12/2024 - 17:52:21,HYPE,Open Long,30.275,3,90.82499999999999,0.031788,-0.031788
20/12/2024 - 17:52:35,HYPE,Open Long,30.25231,30,907.5693,0.317649,-0.317649
20/12/2024 - 21:31:23,HYPE,Open Long,29.5138702,50,1475.69351,0.516491,-0.516491
20/12/2024 - 21:31:33,HYPE,Open Long,29.47,40,1178.8,0.41258,-0.41258
20/12/2024 - 21:31:55,HYPE,Open Long,29.555808,5,147.77904,0.051721,-0.051721
20/12/2024 - 21:32:06,HYPE,Open Long,29.51,1,29.51,0.010328,-0.010328
20/12/2024 - 21:32:11,HYPE,Open Long,29.559,1,29.559,0.010345,-0.010345
20/12/2024 - 22:29:19,HYPE,Close Long,30.519,7,213.63299999999998,0.074771,3.625429
21/12/2024 - 00:48:35,HYPE,Open Long,29.32976,4,117.31904,0.041061,-0.041061
21/12/2024 - 00:48:45,HYPE,Open Long,29.325,0.81,23.75325,0.008313,-0.008313
21/12/2024 - 10:49:11,HYPE,Close Long,32.622,4.81,156.91181999999998,0.054919,12.68148
21/12/2024 - 21:25:52,HYPE,Close Long,34.361,10,343.60999999999996,0.120263,43.748737
21/12/2024 - 22:15:53,HYPE,Open Long,31.843,10,318.43,0.11145,-0.11145
21/12/2024 - 22:16:28,HYPE,Open Long,32.339,10,323.39,0.113186,-0.113186
22/12/2024 - 00:16:10,HYPE,Open Long,32.21085004,81.29,2618.4199997516,0.916445,-0.916445
22/12/2024 - 00:24:21,HYPE,Close Long,32.408,1.29,41.80632,0.014632,2.097098
22/12/2024 - 00:26:26,HYPE,Close Long,32.626,10,326.26,0.114191,18.435809
22/12/2024 - 00:26:35,HYPE,Close Long,32.574,10,325.74,0.114009,17.915991
22/12/2024 - 00:26:38,HYPE,Close Long,32.519766,10,325.19766,0.113819,17.373841000000002
22/12/2024 - 00:41:47,HYPE,Open Long,32.94083827,150,4941.1257405,1.729393,-1.729393
22/12/2024 - 00:48:42,HYPE,Close Long,33.35006245,400,13340.024980000002,4.669008,701.4759720000001
22/12/2024 - 00:49:12,HYPE/USDC,Buy,33.25902436,161.31,5365.013219511599,0.05645848,-1.8777539616485726
