time,coin,dir,px,sz,ntl,fee,closedPnl
28/05/2025 - 16:25:04,HYPE,Open Long,33.981,10,339.81,0.152914,-0.152914
28/05/2025 - 16:55:38,HYPE,Close Long,33.991,10,339.90999999999997,0.152959,-0.052959000000000006
10/06/2025 - 14:08:42,HYPE,Open Short,40.938,12.19,499.03422,0.224564,-0.224564
10/06/2025 - 18:10:20,HYPE,Close Short,39.951,12.19,487.00269,0.21915,11.81238
10/06/2025 - 21:41:40,HYPE,Open Short,41.959,13,545.4670000000001,0.245459,-0.245459
10/06/2025 - 23:03:25,HYPE,Close Short,41.9592276923,13,545.4699599999,0.24546,-0.24842
11/06/2025 - 16:27:03,HYPE,Open Short,43.744,12,524.928,0.236217,-0.236217
11/06/2025 - 17:17:01,HYPE,Close Short,43.7147633333,12,524.5771599996,0.236058,0.114782
17/06/2025 - 17:03:19,HYPE,Open Long,39.488,10,394.88,0.177695,-0.177695
17/06/2025 - 17:18:08,HYPE,Close Long,39.47,10,394.7,0.177614,-0.357614
17/06/2025 - 18:15:10,HYPE,Open Long,38.661,10,386.61,0.173974,-0.173974
17/06/2025 - 19:27:24,HYPE,Close Long,38.681,10,386.80999999999995,0.174064,0.025936000000000015
18/06/2025 - 18:13:43,HYPE,Open Long,38.462,10,384.62,0.173078,-0.173078
18/06/2025 - 19:03:05,HYPE,Close Long,38.923,10,389.23,0.175153,4.434847
18/06/2025 - 19:28:31,HYPE,Open Long,38.654,10,386.54,0.173943,-0.173943
18/06/2025 - 19:37:11,HYPE,Close Long,38.869,10,388.69,0.174909,1.975091
21/06/2025 - 00:59:27,HYPE,Open Long,33.372,10,333.72,0.150174,-0.150174
22/06/2025 - 09:41:07,HYPE,Close Long,33.985,10,339.85,0.152932,5.977068
26/06/2025 - 23:37:55,HYPE,Open Long,36.4,10,364,0.1638,-0.1638
27/06/2025 - 16:00:20,HYPE,Close Long,36.397,10,363.96999999999997,0.163786,-0.19378599999999999
01/07/2025 - 09:52:06,HYPE,Open Long,38.832,10,388.32,0.174744,-0.174744
01/07/2025 - 14:15:08,HYPE,Close Long,38.986,10,389.85999999999996,0.175437,1.364563
01/07/2025 - 19:46:01,HYPE,Open Long,37.788118,15,566.82177,0.255068,-0.255068
02/07/2025 - 17:05:17,HYPE,Close Long,39.004626,15,585.06939,0.26328,17.98461
02/07/2025 - 23:00:05,HYPE,Open Long,40.097,10,400.97,0.180436,-0.180436
02/07/2025 - 23:42:59,HYPE,Close Long,40.089,10,400.89,0.1804,-0.2604
03/07/2025 - 12:18:33,HYPE,Open Long,40.619,10,406.19,0.182785,-0.182785
03/07/2025 - 17:51:11,HYPE,Close Long,40.587739,10,405.87739,0.182644,-0.49525399999999997
04/07/2025 - 00:31:15,HYPE,Open Long,40.4814,15,607.221,0.273248,-0.273248
04/07/2025 - 08:43:24,HYPE,Open Long,38.5369658574,13.18,507.91721000053195,0.228562,-0.228562
